                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.59687,                0.40242,                0.87322,                 0.6583,                0.52289,                 0.6082,                0.47054,                0.73443,                0.64629,                0.91117,             0.00025573,             0.00025573,             0.00025573
                     37,                0.58094,                0.38139,                0.87096,                0.69666,                0.56876,                0.61183,                0.47752,                 0.7396,                0.62956,                0.91741,             0.00023924,             0.00023924,             0.00023924
                     38,                0.59995,                0.38626,                0.86784,                0.67851,                 0.5666,                0.60204,                0.46979,                0.74393,                0.65055,                0.91875,             0.00022274,             0.00022274,             0.00022274
                     39,                0.58002,                 0.3773,                0.86608,                 0.6841,                 0.5416,                0.61754,                0.48263,                0.74903,                0.63213,                0.92236,             0.00020625,             0.00020625,             0.00020625
                     40,                0.56946,                0.37433,                0.86623,                0.57591,                0.60865,                0.61159,                0.47389,                0.75036,                 0.6681,                0.92674,             0.00018976,             0.00018976,             0.00018976
                     41,                0.57849,                0.34708,                0.85577,                0.58336,                0.69133,                 0.5939,                0.44526,                0.74787,                0.63053,                0.91886,             0.00017326,             0.00017326,             0.00017326
                     42,                0.56621,                0.34048,                0.85217,                0.58269,                0.66905,                0.59741,                0.47044,                0.73698,                0.63049,                0.91642,             0.00015677,             0.00015677,             0.00015677
                     43,                 0.5498,                0.33009,                0.84298,                0.71929,                 0.5377,                0.56072,                0.41798,                0.73816,                0.63414,                0.91816,             0.00014028,             0.00014028,             0.00014028
                     44,                0.55521,                0.32664,                0.84473,                0.50722,                0.64025,                0.56941,                0.43376,                0.73105,                0.64189,                0.90839,             0.00012378,             0.00012378,             0.00012378
                     45,                0.53892,                0.31633,                 0.8396,                0.57977,                0.55286,                0.57788,                0.43545,                0.72937,                0.61383,                0.91172,             0.00010729,             0.00010729,             0.00010729
                     46,                0.53616,                0.31117,                0.84275,                0.62184,                0.59751,                 0.5927,                0.44729,                0.72962,                0.61708,                0.91728,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.52968,                0.30667,                0.84069,                0.58789,                0.61561,                0.58335,                0.44053,                0.72608,                0.61515,                0.91483,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.51456,                 0.2968,                0.84031,                 0.6006,                0.63681,                0.56653,                0.43343,                0.72496,                 0.6208,                0.91565,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.51965,                0.29615,                0.83917,                0.57832,                0.62366,                0.57322,                0.43944,                0.72144,                0.61863,                0.91507,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.51961,                0.29409,                0.83694,                0.54767,                0.61461,                 0.5764,                0.43797,                0.72133,                  0.618,                0.91295,             2.4823e-05,             2.4823e-05,             2.4823e-05
